class@R,a7@le0.09,a2@le0.06,a3@le0.08,a20@g0.62,a35@0.4_0.6,a36@0.4_0.58,a44@le0.14,a45@le0.14,a0@le0.02,a1@le0.04,a46@le0.11,a43@le0.15,a9@0.15_0.29,a50@le0.02,a34@0.4_0.6,a53@0.007_0.01,a47@le0.06,a8@0.14_0.27,a48@le0.03,a4@le0.08,a51@le0.01,a27@g0.8,a11@le0.16,a10@le0.16,a12@le0.15
class@R,a7@le0.09,a2@le0.06,a3@le0.08,a20@0.43_0.62,a35@0.4_0.6,a36@0.4_0.58,a44@le0.14,a45@le0.14,a0@le0.02,a1@le0.04,a46@le0.11,a43@le0.15,a50@le0.02,a53@0.007_0.01,a47@le0.06,a8@0.14_0.27,a9@le0.15,a48@le0.03,a4@le0.08,a51@le0.01,a27@g0.8,a11@le0.16,a10@le0.16,a34@0.6_0.8,a12@le0.15
class@M,a2@le0.06,a3@le0.08,a20@0.24_0.43,a48@g0.15,a27@0.6_0.8,a44@g0.28,a7@0.09_0.18,a45@g0.29,a51@0.01,a11@0.16_0.29,a1@0.04_0.09,a36@le0.2,a46@g0.33,a10@0.16_0.31,a12@0.15_0.29,a8@le0.14,a35@0.2_0.4,a9@le0.15,a47@g0.2,a50@g0.02,a53@g0.02,a4@le0.08,a43@g0.3,a0@0.08_0.1,a34@0.6_0.8
class@M,a2@le0.06,a3@le0.08,a20@g0.62,a44@le0.14,a53@0.01_0.02,a7@0.09_0.18,a0@le0.02,a1@le0.04,a51@0.01,a27@0.41_0.61,a36@0.2_0.4,a8@le0.14,a35@0.2_0.4,a47@0.06_0.13,a9@le0.15,a50@g0.02,a48@0.03_0.07,a43@0.15_0.3,a46@0.11_0.22,a34@0.21_0.41,a4@0.08_0.16,a11@le0.16,a10@le0.16,a45@0.14_0.29,a12@le0.15
class@R,a2@le0.06,a3@le0.08,a12@0.29_0.43,a27@0.6_0.8,a20@0.43_0.62,a36@0.4_0.58,a53@0.01_0.02,a45@le0.14,a0@le0.02,a9@0.29_0.43,a51@0.01,a34@g0.8,a44@0.14_0.28,a35@g0.6,a46@le0.11,a11@le0.16,a1@0.04_0.09,a10@0.16_0.31,a50@le0.02,a7@0.18_0.27,a47@le0.06,a48@le0.03,a43@0.15_0.3,a4@0.08_0.16,a8@0.27_0.41
class@R,a7@le0.09,a2@le0.06,a3@le0.08,a27@0.6_0.8,a20@le0.24,a44@le0.14,a45@le0.14,a0@le0.02,a1@le0.04,a46@le0.11,a43@le0.15,a36@le0.2,a8@le0.14,a50@le0.02,a35@0.2_0.4,a47@le0.06,a9@le0.15,a48@le0.03,a4@le0.08,a51@le0.01,a53@le0.007,a34@0.21_0.41,a11@le0.16,a10@le0.16,a12@le0.15
class@M,a3@le0.08,a20@g0.62,a44@g0.28,a9@0.43_0.57,a45@g0.29,a10@0.3_0.45,a35@g0.6,a11@0.16_0.29,a1@0.04_0.09,a48@0.07_0.1,a27@0.2_0.4,a8@g0.41,a12@0.15_0.29,a7@g0.36,a50@g0.02,a53@g0.02,a4@le0.08,a51@le0.01,a47@0.13_0.2,a43@0.15_0.3,a46@0.11_0.22,a2@g0.06,a36@g0.5,a0@0.08_0.1,a34@0.6_0.8
class@M,a7@le0.09,a2@le0.06,a3@le0.08,a20@g0.62,a44@g0.28,a0@le0.02,a1@le0.04,a46@le0.11,a35@g0.6,a11@0.16_0.29,a10@0.16_0.31,a12@0.15_0.29,a8@le0.14,a50@le0.02,a53@0.007_0.01,a47@le0.06,a9@le0.15,a48@le0.03,a4@le0.08,a51@le0.01,a43@g0.3,a27@g0.8,a36@g0.5,a45@0.14_0.29,a34@0.6_0.8
class@R,a2@le0.06,a3@le0.08,a20@0.43_0.62,a53@0.01_0.02,a10@le0.16,a7@0.09_0.18,a45@le0.14,a0@le0.02,a1@le0.04,a34@g0.8,a44@0.14_0.28,a35@g0.6,a46@le0.11,a11@le0.16,a9@0.15_0.29,a12@0.15_0.29,a48@le0.03,a50@g0.02,a51@le0.01,a43@g0.3,a27@g0.8,a47@0.13_0.2,a4@0.08_0.16,a8@0.27_0.41,a36@g0.5
class@M,a2@le0.06,a3@le0.08,a20@g0.62,a12@0.29_0.43,a35@0.4_0.6,a7@0.09_0.18,a45@le0.14,a1@le0.04,a44@0.14_0.28,a46@le0.11,a27@0.2_0.4,a9@0.15_0.29,a36@0.2_0.4,a10@0.16_0.31,a8@le0.14,a34@0.4_0.6,a53@0.007_0.01,a47@le0.06,a48@le0.03,a50@g0.02,a4@le0.08,a0@0.02_0.05,a51@le0.01,a11@0.29_0.43,a43@0.15_0.3
