a0@B5of8,a1@B6of10,a2@B6of10,a3@B4of5,a4@B3of4,a5@B2of3,a6@B4of9,a7@B5of10,a8@B3of8,a9@B6of9,a10@B3of5,a11@B3of9,a12@B5of10,a13@B2of5,a14@B3of9,a15@B4of7,class@van
a0@B4of8,a1@B4of10,a2@B7of10,a3@B2of5,a4@B2of4,a5@B2of3,a6@B3of9,a7@B6of10,a8@B2of8,a9@B4of9,a10@B3of5,a11@B2of9,a12@B4of10,a13@B2of5,a14@B5of9,a15@B4of7,class@van
a0@B7of8,a1@B7of10,a2@B10of10,a3@B5of5,a4@B3of4,a5@B2of3,a6@B7of9,a7@B2of10,a8@B5of8,a9@B6of9,a10@B5of5,a11@B6of9,a12@B7of10,a13@B2of5,a14@B7of9,a15@B3of7,class@saab
a0@B5of8,a1@B4of10,a2@B6of10,a3@B3of5,a4@B2of4,a5@B2of3,a6@B3of9,a7@B6of10,a8@B2of8,a9@B4of9,a10@B2of5,a11@B2of9,a12@B2of10,a13@B1of5,a14@B3of9,a15@B3of7,class@van
a0@B3of8,a1@B5of10,a2@B5of10,a3@B5of5,a4@B4of4,a5@B3of3,a6@B3of9,a7@B6of10,a8@B2of8,a9@B4of9,a10@B5of5,a11@B2of9,a12@B5of10,a13@B5of5,a14@B5of9,a15@B3of7,class@bus
a0@B8of8,a1@B10of10,a2@B10of10,a3@B3of5,a4@B1of4,a5@B1of3,a6@B9of9,a7@B1of10,a8@B8of8,a9@B8of9,a10@B5of5,a11@B9of9,a12@B10of10,a13@B4of5,a14@B3of9,a15@B3of7,class@bus
a0@B6of8,a1@B4of10,a2@B5of10,a3@B4of5,a4@B2of4,a5@B1of3,a6@B3of9,a7@B5of10,a8@B2of8,a9@B4of9,a10@B3of5,a11@B3of9,a12@B4of10,a13@B1of5,a14@B6of9,a15@B1of7,class@bus
a0@B4of8,a1@B4of10,a2@B4of10,a3@B3of5,a4@B2of4,a5@B2of3,a6@B2of9,a7@B7of10,a8@B1of8,a9@B4of9,a10@B2of5,a11@B2of9,a12@B4of10,a13@B2of5,a14@B2of9,a15@B1of7,class@van
a0@B3of8,a1@B1of10,a2@B4of10,a3@B2of5,a4@B2of4,a5@B1of3,a6@B1of9,a7@B8of10,a8@B1of8,a9@B2of9,a10@B1of5,a11@B1of9,a12@B1of10,a13@B1of5,a14@B1of9,a15@B4of7,class@van
a0@B5of8,a1@B5of10,a2@B9of10,a3@B5of5,a4@B2of4,a5@B2of3,a6@B5of9,a7@B3of10,a8@B5of8,a9@B4of9,a10@B4of5,a11@B4of9,a12@B3of10,a13@B1of5,a14@B2of9,a15@B4of7,class@saab
